TimeStamp,Code
4634.8036,sw_94
4640.4981,sw_93
4650.5063,sw_92
4650.5103,sw_91
4662.1369,sw_90
4662.1393,sw_99
4667.1467,sw_0
4669.6483,sw_97
4671.6595,sw_96
4677.6569,sw_95
4678.6672,sw_99
4683.668,sw_0
4686.1641,sw_97
4688.173,sw_96
4694.1741,sw_95
4695.1601,sw_99
4700.1525,sw_1
4702.6754,sw_97
4704.6817,sw_96
4710.6892,sw_95
4711.6915,sw_99
4716.672,sw_1
4719.1872,sw_97
4721.1723,sw_96
4727.1843,sw_95
4728.1787,sw_99
4733.2043,sw_0
4735.6697,sw_97
4737.7086,sw_96
4743.7118,sw_95
4744.6999,sw_99
4749.7099,sw_1
4752.2179,sw_97
4754.1885,sw_96
4760.212,sw_95
4761.2251,sw_99
4766.2218,sw_0
4768.72,sw_97
4770.7287,sw_96
4776.7344,sw_95
4777.7375,sw_99
4782.7107,sw_1
4785.242,sw_97
4787.2126,sw_96
4793.244,sw_95
4794.2492,sw_99
4799.2512,sw_1
4801.7464,sw_97
4803.7402,sw_96
4809.7535,sw_95
4810.7629,sw_99
4815.7618,sw_0
4818.264,sw_97
4820.2688,sw_96
4826.2615,sw_95
4827.2689,sw_89
4827.2738,sw_94
4850.7608,sw_93
4860.7581,sw_92
4860.7672,sw_91
4864.8235,sw_90
4864.8304,sw_99
4869.8325,sw_1
4872.3394,sw_97
4874.3304,sw_96
4880.3308,sw_95
4881.3244,sw_99
4886.3449,sw_1
4888.8553,sw_97
4890.8494,sw_96
4896.8573,sw_95
4897.8592,sw_99
4902.8653,sw_0
4905.3604,sw_97
4907.3638,sw_96
4913.3584,sw_95
4914.3729,sw_99
4919.3565,sw_0
4921.8713,sw_97
4923.883,sw_96
4929.8878,sw_95
4930.8777,sw_99
4935.8751,sw_1
4938.3848,sw_97
4940.3954,sw_96
4946.3988,sw_95
4947.3686,sw_99
4952.4108,sw_0
4954.9075,sw_97
4956.8887,sw_96
4962.9027,sw_95
4963.9103,sw_99
4968.9148,sw_1
4971.4178,sw_97
4973.4218,sw_96
4979.4143,sw_95
4980.4254,sw_99
4985.3917,sw_0
4987.9046,sw_97
4989.9341,sw_96
4995.9391,sw_95
4996.9388,sw_99
5001.9223,sw_1
5004.4342,sw_97
5006.4189,sw_96
5012.4456,sw_95
5013.4531,sw_99
5018.4522,sw_0
5020.9548,sw_97
5022.9537,sw_96
5028.9573,sw_95
5029.9507,sw_89
5029.9524,sw_94
5223.8278,sw_93
5233.8263,sw_92
5233.8384,sw_91
5236.582,sw_90
5236.5979,sw_99
5241.6168,sw_1
5244.1194,sw_97
5246.1257,sw_96
5252.1042,sw_95
5253.1291,sw_99
5258.113,sw_1
5260.618,sw_97
5262.6018,sw_96
5268.6164,sw_95
5269.6312,sw_99
5274.6457,sw_0
5277.1366,sw_97
5279.1439,sw_96
5285.1441,sw_95
5286.1341,sw_99
5291.154,sw_0
5293.6545,sw_97
5295.6497,sw_96
5301.6572,sw_95
5302.664,sw_99
5307.6621,sw_1
5310.1619,sw_97
5312.1709,sw_96
5318.1628,sw_95
5319.174,sw_99
5324.165,sw_0
5326.6702,sw_97
5328.6596,sw_96
5334.684,sw_95
5335.6788,sw_99
5340.6925,sw_1
5343.1818,sw_97
5345.183,sw_96
5351.1908,sw_95
5352.1804,sw_99
5357.2013,sw_0
5359.6866,sw_97
5361.7018,sw_96
5367.7072,sw_95
5368.7196,sw_99
5373.7222,sw_0
5376.2202,sw_97
5378.2259,sw_96
5384.2387,sw_95
5385.2337,sw_99
5390.2348,sw_1
5392.7437,sw_97
5394.7468,sw_96
5400.7215,sw_95
5401.744,sw_89
5401.7513,sw_94
5430.5406,sw_93
5440.546,sw_92
5440.5535,sw_91
5444.4615,sw_90
5444.4825,sw_99
5449.4952,sw_0
5451.9701,sw_97
5453.9985,sw_96
5459.9946,sw_95
5460.9899,sw_99
5465.9982,sw_0
5468.4929,sw_97
5470.5053,sw_96
5476.5199,sw_95
5477.4971,sw_99
5482.5129,sw_1
5485.0267,sw_97
5487.0118,sw_96
5493.0288,sw_95
5494.0289,sw_99
5499.0311,sw_0
5501.5376,sw_97
5503.5405,sw_96
5509.5278,sw_95
5510.5425,sw_99
5515.5189,sw_1
5518.0334,sw_97
5520.0149,sw_96
5526.0503,sw_95
5527.0436,sw_99
5532.0428,sw_1
5534.5595,sw_97
5536.5456,sw_96
5542.5646,sw_95
5543.5665,sw_99
5548.552,sw_1
5551.0664,sw_97
5553.0655,sw_96
5559.075,sw_95
5560.0742,sw_99
5565.0725,sw_1
5567.5759,sw_97
5569.5703,sw_96
5575.5584,sw_95
5576.58,sw_99
5581.5851,sw_0
5584.0709,sw_97
5586.0903,sw_96
5592.0859,sw_95
5593.1009,sw_99
5598.0995,sw_0
5600.5884,sw_97
5602.6035,sw_96
5608.6001,sw_95
5609.5796,sw_89
5609.5872,sw_94
5617.8552,sw_93
5627.8622,sw_92
5627.8639,sw_91
5631.775,sw_90
5631.7868,sw_99
5636.7767,sw_1
5639.2821,sw_97
5641.29,sw_96
5647.3105,sw_95
5648.3056,sw_99
5653.3073,sw_0
5655.8071,sw_97
5657.8008,sw_96
5663.7868,sw_95
5664.8152,sw_99
5669.8236,sw_1
5672.2988,sw_97
5674.3237,sw_96
5680.3014,sw_95
5681.3271,sw_99
5686.3185,sw_1
5688.8271,sw_97
5690.8424,sw_96
5696.8441,sw_95
5697.8464,sw_99
5702.8515,sw_0
5705.3567,sw_97
5707.3597,sw_96
5713.3388,sw_95
5714.3578,sw_99
5719.347,sw_1
5721.8624,sw_97
5723.8673,sw_96
5729.8704,sw_95
5730.8733,sw_99
5735.8722,sw_0
5738.3651,sw_97
5740.3728,sw_96
5746.3722,sw_95
5747.3834,sw_99
5752.3779,sw_0
5754.891,sw_97
5756.8781,sw_96
5762.8951,sw_95
5763.9032,sw_99
5768.9097,sw_0
5771.4016,sw_97
5773.4133,sw_96
5779.4106,sw_95
5780.4204,sw_99
5785.4004,sw_1
5787.9238,sw_97
5789.9334,sw_96
5795.9121,sw_95
5796.9385,sw_89
5796.9441,sw_94
5857.1649,sw_93
5867.168,sw_92
5867.1753,sw_91
5872.1562,sw_90
5872.1581,sw_99
5877.1508,sw_1
5879.6617,sw_97
5881.6424,sw_96
5887.6604,sw_95
5888.6537,sw_99
5893.6545,sw_0
5896.1331,sw_97
5898.1724,sw_96
5904.1781,sw_95
5905.1818,sw_99
5910.1811,sw_1
5912.6803,sw_97
5914.6932,sw_96
5920.6856,sw_95
5921.6887,sw_99
5926.6672,sw_1
5929.1955,sw_97
5931.172,sw_96
5937.194,sw_95
5938.1943,sw_99
5943.2012,sw_0
5945.7069,sw_97
5947.7092,sw_96
5953.6985,sw_95
5954.7191,sw_99
5959.6921,sw_1
5962.2095,sw_97
5964.2276,sw_96
5970.226,sw_95
5971.2342,sw_99
5976.2099,sw_0
5978.7385,sw_97
5980.7325,sw_96
5986.7236,sw_95
5987.7152,sw_99
5992.7478,sw_0
5995.2287,sw_97
5997.2483,sw_96
6003.254,sw_95
6004.2565,sw_99
6009.2461,sw_1
6011.7577,sw_97
6013.7335,sw_96
6019.7623,sw_95
6020.7704,sw_99
6025.7398,sw_0
6028.2626,sw_97
6030.2846,sw_96
6036.2839,sw_95
6037.2799,sw_89
6037.2829,sw_94
6060.7716,sw_93
